buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
50.0,1.0,100.0,11.0,1.7632505654394408,100,50.0,56.71344590187073
100.0,2.0,100.0,8.0,70.73237611516838,200,100.0,58.12722039222717
150.0,3.0,100.0,5.0,51.88588555080347,300,150.0,60.054527282714844
200.0,4.0,100.0,7.0,68.65781731436437,400,200.0,61.51102614402771
250.0,5.0,100.0,10.0,69.38899756213124,500,250.0,62.95217752456665
300.0,6.0,100.0,8.0,59.123026890851776,600,300.0,64.6435661315918
350.0,7.0,100.0,0.0,65.66362340805826,700,350.0,66.16647982597351
400.0,8.0,100.0,6.0,68.99951700548667,800,400.0,67.61576581001282
450.0,9.0,100.0,8.0,57.29317692364223,900,450.0,69.36117482185364
500.0,10.0,100.0,6.0,56.03189605594234,1000,500.0,71.1458911895752
550.0,11.0,100.0,0.0,66.31390353465116,1100,550.0,72.65387082099915
600.0,12.0,100.0,9.0,69.6669797633255,1200,600.0,74.08927154541016
650.0,13.0,100.0,10.0,60.24892176754709,1300,650.0,75.74905323982239
700.0,14.0,100.0,9.0,69.08982970607818,1400,700.0,77.19644474983215
750.0,15.0,100.0,10.0,65.89242654917278,1500,750.0,78.7140703201294
800.0,16.0,100.0,13.0,52.78848755709214,1600,800.0,80.60843324661255
850.0,17.0,100.0,12.0,66.44314619870256,1700,850.0,82.11347985267639
900.0,18.0,100.0,0.0,66.04939992154644,1800,900.0,83.62749886512756
950.0,19.0,100.0,9.0,56.32792455237385,1900,950.0,85.40281748771667
1000.0,20.0,100.0,11.0,69.39991624298668,2000,1000.0,86.84374213218689
1050.0,21.0,100.0,0.0,4.964384307864018,2100,1050.0,106.98722767829895
1100.0,22.0,100.0,16.0,31.25616144776035,2200,1100.0,110.1865975856781
1150.0,23.0,100.0,0.0,26.912265315940825,2300,1150.0,113.90237593650818
1200.0,24.0,100.0,0.0,26.834218455012532,2400,1200.0,117.62896156311035
1250.0,25.0,100.0,0.0,12.955012608755224,2500,1250.0,125.34798216819763
1300.0,26.0,100.0,0.0,7.586481428612151,2600,1300.0,138.52932405471802
1350.0,27.0,100.0,0.0,16.857726478735263,2700,1350.0,144.46132278442383
1400.0,28.0,100.0,0.0,16.5142548953106,2800,1400.0,150.51669788360596
1450.0,29.0,100.0,0.0,27.948963321210332,2900,1450.0,154.0946490764618
1500.0,30.0,100.0,0.0,31.095762223181403,3000,1500.0,157.3105218410492
1550.0,31.0,100.0,0.0,28.556413176855894,3100,1550.0,160.81236290931702
1600.0,32.0,100.0,0.0,30.71368179973524,3200,1600.0,164.06824135780334
1650.0,33.0,100.0,0.0,28.995968787832364,3300,1650.0,167.5169973373413
1700.0,34.0,100.0,0.0,29.294924236482164,3400,1700.0,170.93055844306946
1750.0,35.0,100.0,0.0,29.417948389200006,3500,1750.0,174.3298442363739
1800.0,36.0,100.0,0.0,29.667433361687703,3600,1800.0,177.7005443572998
1850.0,37.0,100.0,0.0,29.266257940967243,3700,1850.0,181.1174488067627
1900.0,38.0,100.0,0.0,30.01439069263527,3800,1900.0,184.44918417930603
1950.0,39.0,100.0,0.0,29.39104885294574,3900,1950.0,187.85158109664917
2000.0,40.0,100.0,0.0,32.81779330967713,4000,2000.0,190.8987090587616
2050.0,41.0,100.0,0.0,5.014831778577149,4100,2050.0,210.83955788612366
2100.0,42.0,100.0,0.0,28.43623308102356,4200,2100.0,214.35619854927063
2150.0,43.0,100.0,0.0,30.865719200448897,4300,2150.0,217.5960397720337
2200.0,44.0,100.0,0.0,30.868072546340887,4400,2200.0,220.83563375473022
2250.0,45.0,100.0,0.0,27.93295962887686,4500,2250.0,224.41563439369202
2300.0,46.0,100.0,0.0,32.918163403212,4600,2300.0,227.45347118377686
2350.0,47.0,100.0,0.0,29.040123840158238,4700,2350.0,230.89698362350464
2400.0,48.0,100.0,0.0,28.21560596055537,4800,2400.0,234.4411220550537
2450.0,49.0,100.0,0.0,30.471151272706773,4900,2450.0,237.72291541099548
2500.0,50.0,100.0,0.0,29.206172626051117,5000,2500.0,241.14684987068176
2550.0,51.0,100.0,0.0,27.374377260106982,5100,2550.0,244.79990148544312
2600.0,52.0,100.0,0.0,31.14913793173872,5200,2600.0,248.01026391983032
2650.0,53.0,100.0,0.0,28.89235470985299,5300,2650.0,251.47138738632202
2700.0,54.0,100.0,0.0,29.743189647170215,5400,2700.0,254.83350253105164
2750.0,55.0,100.0,0.0,30.439479683736845,5500,2750.0,258.1187102794647
2800.0,56.0,100.0,0.0,28.83423537480139,5600,2800.0,261.58681058883667
2850.0,57.0,100.0,0.0,30.15381934354559,5700,2850.0,264.90314054489136
2900.0,58.0,100.0,0.0,28.449813899202574,5800,2900.0,268.4181025028229
2950.0,59.0,100.0,0.0,27.01181233547914,5900,2950.0,272.1201870441437
3000.0,60.0,100.0,0.0,30.424127587540823,6000,3000.0,275.40705251693726
3050.0,61.0,100.0,0.0,5.179129959846007,6100,3050.0,294.71531534194946
3100.0,62.0,100.0,0.0,28.657275086074915,6200,3100.0,298.2048308849335
3150.0,63.0,100.0,0.0,29.363147999771776,6300,3150.0,301.6104612350464
3200.0,64.0,100.0,0.0,27.191716164990797,6400,3200.0,305.2880525588989
3250.0,65.0,100.0,0.0,25.97314841098457,6500,3250.0,309.13818311691284
3300.0,66.0,100.0,0.0,30.48782065679991,6600,3300.0,312.4181818962097
3350.0,67.0,100.0,0.0,27.514555614405875,6700,3350.0,316.05262207984924
3400.0,68.0,100.0,0.0,27.625913230753383,6800,3400.0,319.6724126338959
3450.0,69.0,100.0,0.0,30.615963279273625,6900,3450.0,322.93868350982666
3500.0,70.0,100.0,0.0,27.139079318142848,7000,3500.0,326.6234073638916
3550.0,71.0,100.0,0.0,30.458343790375803,7100,3550.0,329.90658044815063
3600.0,72.0,100.0,0.0,28.460622622261543,7200,3600.0,333.4202079772949
3650.0,73.0,100.0,0.0,29.60912295860812,7300,3650.0,336.797545671463
3700.0,74.0,100.0,0.0,28.022903622496177,7400,3700.0,340.3660559654236
3750.0,75.0,100.0,0.0,32.22378310064209,7500,3750.0,343.4693548679352
3800.0,76.0,100.0,0.0,28.071306391026507,7600,3800.0,347.0317120552063
3850.0,77.0,100.0,0.0,28.84978255897733,7700,3850.0,350.49794340133667
3900.0,78.0,100.0,0.0,29.783921029616735,7800,3900.0,353.85546016693115
3950.0,79.0,100.0,0.0,28.081944056305506,7900,3950.0,357.416467666626
4000.0,80.0,100.0,0.0,29.45352985573732,8000,4000.0,360.811646938324
4050.0,81.0,100.0,0.0,5.156858824709434,8100,4050.0,380.2032973766327
4100.0,82.0,100.0,0.0,30.047908397344685,8200,4100.0,383.53131675720215
4150.0,83.0,100.0,0.0,29.022613578554108,8300,4150.0,386.97690653800964
4200.0,84.0,100.0,0.0,26.646370981575057,8400,4200.0,390.72976326942444
4250.0,85.0,100.0,0.0,28.749049136199613,8500,4250.0,394.20813965797424
4300.0,86.0,100.0,0.0,28.760739238681474,8600,4300.0,397.68510270118713
4350.0,87.0,100.0,0.0,29.494334003412348,8700,4350.0,401.0755846500397
4400.0,88.0,100.0,0.0,28.385437092881396,8800,4400.0,404.59851837158203
4450.0,89.0,100.0,0.0,29.235051387299205,8900,4450.0,408.0190703868866
4500.0,90.0,100.0,0.0,29.540740976552872,9000,4500.0,411.404226064682
4550.0,91.0,100.0,0.0,28.653206965954613,9100,4550.0,414.8942377567291
4600.0,92.0,100.0,0.0,29.74409240679282,9200,4600.0,418.2562503814697
4650.0,93.0,100.0,0.0,30.512090940100755,9300,4650.0,421.5336401462555
4700.0,94.0,100.0,0.0,31.605724185066208,9400,4700.0,424.6976246833801
4750.0,95.0,100.0,0.0,25.998509997884444,9500,4750.0,428.5439991950989
4800.0,96.0,100.0,0.0,28.703695719626964,9600,4800.0,432.0278720855713
4850.0,97.0,100.0,0.0,31.273022478856824,9700,4850.0,435.22551679611206
4900.0,98.0,100.0,0.0,27.036517990132065,9800,4900.0,438.9242181777954
4950.0,99.0,100.0,8.0,28.9972256906754,9900,4950.0,442.37282514572144
5000.0,100.0,100.0,0.0,30.871571426478983,10000,5000.0,445.6120517253876
5050.0,101.0,100.0,0.0,5.014389441671109,10100,5050.0,465.55465960502625
5100.0,102.0,100.0,0.0,27.550645931743066,10200,5100.0,469.18433928489685
5150.0,103.0,100.0,0.0,31.71851607730136,10300,5150.0,472.3370726108551
5200.0,104.0,100.0,0.0,29.215996723364626,10400,5200.0,475.7598555088043
